GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,59,7,0,0,18,2,3,2,3,2
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,42,10,0,0,10,4,2,2,2,2
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,124,0,4,0,38,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,12,153,0,4,0,39,2,10,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,124,0,4,0,38,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,124,0,4,0,38,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,121,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,124,0,4,0,38,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.service,TradeServiceImpl,0,78,0,2,0,21,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,BidListServiceImpl,0,84,0,2,0,24,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,5,17,1,1,1,4,1,2,0,2
spring-boot-skeleton,com.nnk.springboot.service,RatingServiceImpl,0,82,0,2,0,22,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,CustomOAuth2User,23,0,0,0,7,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.service,RuleNameServiceImpl,0,91,0,2,0,24,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,Oauth2Service,9,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.service,CurvePointServiceImpl,0,78,0,2,0,21,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetails,27,10,0,0,8,4,6,2,6,2
spring-boot-skeleton,com.nnk.springboot.security,SpringSecurityConfig,0,124,0,0,0,31,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,71,0,0,0,30,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,97,0,0,0,40,0,17,0,17
spring-boot-skeleton,com.nnk.springboot.domain,BidList,149,59,0,0,62,25,40,11,40,11
spring-boot-skeleton,com.nnk.springboot.domain,Trade,119,67,0,0,51,29,34,12,34,12
spring-boot-skeleton,com.nnk.springboot.domain,User,18,68,0,0,7,29,1,13,1,13
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,58,0,0,6,25,4,11,4,11
